編號,案件類型,發生日期,發生時段,發生地點,定位地點,lat,lon
965,住宅竊盜,1050704,13~15,台北市信義區景新里莊敬路289巷1~30號,台北市信義區景新里莊敬路289巷1號,25.029235,121.564165
966,住宅竊盜,1050704,19~21,台北市中正區東門里信義路一段1~30號,台北市中正區東門里信義路一段1號,25.0382335,121.5192914
967,住宅竊盜,1050705,04~06,台北市內湖區民權東路六段90巷15弄1~30號,台北市內湖區民權東路六段90巷15弄1號,25.067923,121.5862124
968,住宅竊盜,1050705,07~09,台北市北投區湖田里竹子湖路1~30號,台北市北投區湖田里竹子湖路1號,25.15557,121.5459112
969,住宅竊盜,1050705,07~09,台北市士林區蘭興里克強路10巷9弄1~30號,台北市士林區蘭興里克強路10巷9弄1 號,25.109471,121.5241336
970,住宅竊盜,1050705,07~09,台北市北投區湖田里竹子湖路1~30號,台北市北投區湖田里竹子湖路1 號,25.15557,121.5459112
971,住宅竊盜,1050705,13~15,台北市萬華區西園路1段125巷1~30號,台北市萬華區西園路1段125巷1 號,25.0378981,121.4998141
972,住宅竊盜,1050705,16~18,台北市中山區民生東路二段61~90號,台北市中山區民生東路二段61號,25.0581353,121.5296493
973,住宅竊盜,1050706,01~03,台北市中山區龍江路457巷1~30號,台北市中山區龍江路457巷1 號,25.06767,121.541259
974,住宅竊盜,1050706,04~06,台北市中山區龍江路391~420號,台北市中山區龍江路391 號,25.0652746,121.5411129
975,住宅竊盜,1050706,07~09,台北市士林區天和里中山北路七段190巷31~60號,台北市士林區天和里中山北路七段190巷31號,25.1260049,121.5357805
976,住宅竊盜,1050707,13~15,台北市大安區和平東路三段61~90號,台北市大安區和平東路三段61號,25.0244591,121.5493293
977,住宅竊盜,1050707,13~15,台北市南港區三重里園區街14巷1~30號,台北市南港區三重里園區街14巷1號,25.0592585,121.6118704
978,住宅竊盜,1050709,10~12,台北市大同區朝陽里天水路31~60號,台北市大同區朝陽里天水路31號,25.053188,121.513399
979,住宅竊盜,1050710,10~12,台北市松山區敦化北路222巷1~30號,台北市松山區敦化北路222巷1 號,25.0591259,121.548521
980,住宅竊盜,1050710,10~12,台北市松山區健康路391~420號,台北市松山區健康路391 號,25.054497,121.5687966
981,住宅竊盜,1050710,16~18,台北市北投區中央里中央南路二段91~120號,台北市北投區中央里中央南路二段91號,25.1224748,121.5002494
982,住宅竊盜,1050711,22~24,台北市北投區榮華里榮華二路1~30號,台北市北投區榮華里榮華二路1號,25.1133164,121.5243694
983,住宅竊盜,1050712,10~12,台北市士林區東山里1鄰德行東路397巷1~30號,台北市士林區東山里1鄰德行東路397巷1號,25.111523,121.540323
